Mom,Infant,Unit,Mos,Year,Sex,DOB,End.Date,Censored,N.Females,N.Males,unit.cat,End.Age,Mom.DOB,Mom.Age,Grooming.F,Total.Mom.Focal,Total.Fem.Focal,Grooming.M,Total.Male.Focal,Index.M,Index.F,Index.F.original,Index.M.original,Band,BandYear,Above.Male,Above.Female,Age.Cat,Takeover,fem.quartile,male.quartile
ID8,ID8_3,D,10,2011,M,10/4/11,10/3/16,0,4,2,SMALL,5,2/16/01,10.63,0.109,22.019,57.663,0.074,83.155,-0.101300448,0.765398396,0.649820033,0.177900247,Small,Small_2011,Above,Above,Middle-aged,N,4,3
ID21,ID21_3,M1,11,2011,F,10/5/11,8/10/12,1,8,1,LARGE,0.85,6/6/93,18.33,0.065,7.722,59.256,0.079,29.662,0.639077655,-0.789513973,-0.64856475,0.298589003,Mid,Mid_2011,Above,Below,Old,Y,1,4
ID18,ID18_1,N,10,2011,M,10/15/11,10/14/16,0,4,2,SMALL,5,9/1/05,6.12,0.081,4.158,15.179,0.078,23.668,0.011399657,-0.046667435,-0.162245798,0.290600352,Mid,Mid_2011,Above,Above,Young,N,3,3
ID97,ID97_1,H1,10,2011,F,10/27/11,1/29/13,0,8,1,LARGE,1.26,2/5/94,17.72,0.105,4.242,36.839,0.081,62.236,0.701492745,0.394112124,0.535061347,0.361004092,Far,Far_2011,Above,Above,Old,N,3,4
ID93,ID93_3,T,10,2011,F,10/31/11,11/2/12,1,10,3,LARGE,1.01,10/1/03,8.08,0.111,7.209,47.013,0.024,30.399,-0.40691025,0.420099448,0.689312464,-1.057243577,Mid,Mid_2011,Below,Above,Middle-aged,Y,3,2
ID19,ID19_5,M2,11,2011,M,11/4/11,12/10/11,1,3,1,SMALL,0.1,10/24/02,9.03,0.053,7.699,68.796,0.089,47.365,0.129546291,-0.788489866,-0.968200126,0.563669323,Mid,Mid_2011,Above,Below,Middle-aged,Y,1,3
ID96,ID96_2,V,11,2011,F,11/8/11,11/7/16,0,7,1,MEDIUM,5,2/14/05,6.73,0.087,12.848,83.559,0.051,68.430,-0.209426471,-0.072786934,0.004030392,-0.394992787,Small,Small_2011,Below,Below,Young,N,2,2
ID14,ID14_1,M2,11,2011,F,11/18/11,11/28/11,1,3,1,SMALL,0.03,8/25/97,14.23,0.166,8.901,71.928,0.046,90.228,-0.949082496,2.475559235,2.295848975,-0.514959464,Mid,Mid_2011,Below,Above,Middle-aged,Y,4,1
ID46,ID46_1,N,12,2011,M,12/13/11,12/12/16,0,4,2,SMALL,5,9/1/99,12.28,0.105,11.032,14.143,0.162,41.149,2.110879389,0.648640835,0.533062472,2.390080084,Mid,Mid_2011,Above,Above,Middle-aged,N,4,4
ID98,ID98_1,V,12,2011,M,12/20/11,12/19/16,0,7,1,MEDIUM,5,3/1/01,10.8,0.111,16.019,85.966,0.080,74.867,0.528259497,0.636686881,0.713504207,0.342693181,Small,Small_2011,Above,Above,Middle-aged,N,4,4
ID15,ID15_1,A,12,2011,M,12/28/11,12/27/16,0,3,1,SMALL,5,10/12/01,10.21,0.026,9.764,21.564,0.036,35.697,-1.196541148,-1.580506665,-1.760216924,-0.762418116,Mid,Mid_2011,Below,Below,Middle-aged,N,1,1
ID103,ID103_1,L,1,2012,F,1/3/12,8/9/12,1,8,2,LARGE,0.6,2/5/94,17.91,0.107,4.254,19.350,0.012,5.629,-0.663414088,0.734771379,0.875720602,-1.00390274,Far,Far_2012,Below,Above,Old,Y,4,1
ID106,ID106_1,V,1,2012,M,1/17/12,1/16/17,0,7,1,MEDIUM,5,4/17/94,17.75,0.103,18.250,87.351,0.029,77.303,-0.399128534,0.670098456,0.746915783,-0.58469485,Small,Small_2012,Below,Above,Old,N,4,2
ID7,ID7_1,B1,1,2012,F,1/28/12,1/27/17,0,9,1,LARGE,5,12/15/04,7.12,0.081,6.944,64.891,0.081,120.891,1.215625433,-0.0897535,0.11532762,0.720214443,Mid,Mid_2012,Above,Below,Young,N,2,4
ID26,ID26_3,V,1,2012,F,1/29/12,1/28/17,0,7,1,MEDIUM,5,12/1/01,10.16,0.074,19.151,88.550,0.118,78.072,1.827227244,-0.151855694,-0.075038367,1.641660928,Small,Small_2012,Above,Below,Middle-aged,N,2,4
ID27,ID27_1,B1,2,2012,M,2/16/12,4/29/14,1,9,1,LARGE,2.2,6/12/91,20.68,0.059,7.474,68.008,0.054,126.020,0.535697484,-0.727941963,-0.522860843,0.040286494,Mid,Mid_2012,Above,Below,Old,N,2,4
ID99,ID99_1,V,2,2012,M,2/24/12,2/23/17,0,7,1,MEDIUM,5,2/1/99,13.06,0.072,18.328,95.588,0.024,83.221,-0.502254198,-0.205938939,-0.129121612,-0.687820513,Small,Small_2012,Below,Below,Middle-aged,N,2,2
ID4,ID4_2,N,3,2012,M,3/28/12,3/28/17,0,4,2,SMALL,5,6/1/05,6.82,0.085,7.688,20.742,0.140,49.551,1.88723775,0.340766482,0.225188119,2.166438445,Mid,Mid_2012,Above,Above,Young,N,3,4
ID52,ID52_1,Z,4,2012,F,4/1/12,5/4/14,1,7,1,MEDIUM,2.09,1/1/97,15.25,0.069,8.982,44.367,0.092,10.747,1.162477587,-0.304834441,-0.228017115,0.976911271,Mid,Mid_2012,Above,Below,Old,N,2,4
ID84,ID84_1,J,5,2012,M,5/11/12,5/11/17,0,2,2,SMALL,5,7/1/03,8.86,0.033,22.534,21.692,0.095,140.980,0.477685358,-1.032676101,-1.276518258,1.066730727,Small,Small_2012,Above,Below,Middle-aged,N,1,4
ID100,ID100_1,M2,6,2012,F,6/5/12,6/5/17,0,3,1,SMALL,5,10/1/05,6.68,0.126,10.798,114.993,0.049,128.128,-0.517604156,1.592310252,1.412599992,-0.083481124,Mid,Mid_2012,Below,Above,Young,Y,4,2
ID94,ID94_4,Z,6,2012,F,6/7/12,6/7/17,0,7,1,MEDIUM,5,6/15/04,7.98,0.036,8.225,49.089,0.052,11.000,0.177070709,-1.251027439,-1.174210113,-0.008495607,Mid,Mid_2012,Above,Below,Young,N,1,3
ID31,ID31_3,V,6,2012,M,6/11/12,6/11/17,0,7,1,MEDIUM,5,2/14/05,7.32,0.068,18.758,106.903,0.077,92.881,0.791746112,-0.330594067,-0.25377674,0.606179796,Small,Small_2012,Above,Below,Young,N,2,4
ID67,ID67_1,R,6,2012,F,6/27/12,2/1/13,0,9,1,LARGE,0.6,2/7/88,24.39,0.143,8.497,23.313,0.001,30.590,-0.762201032,1.699663189,1.904744309,-1.257612021,Far,Far_2012,Below,Above,Old,N,4,1
ID56,ID56_2,Z,7,2012,M,7/27/12,2/20/17,1,7,1,MEDIUM,4.57,11/1/05,6.74,0.035,6.069,51.245,0.037,11.000,-0.200858374,-1.290013037,-1.213195711,-0.38642469,Mid,Mid_2012,Below,Below,Young,N,1,2
ID19,ID19_3,M2,8,2012,F,8/7/12,8/7/17,0,3,1,SMALL,5,10/24/02,9.79,0.036,12.529,123.998,0.090,136.842,0.494152995,-1.007974598,-1.187684857,0.928276027,Mid,Mid_2012,Above,Below,Middle-aged,Y,1,4
ID41,ID41_1,H1,8,2012,M,8/27/12,1/31/13,0,9,1,LARGE,0.43,9/5/03,8.98,0.084,5.970,59.195,0.013,88.713,-0.463046953,-0.003831725,0.201249395,-0.958457942,Far,Far_2012,Below,Above,Middle-aged,N,3,2
ID53,ID53_1,H1,9,2012,M,9/3/12,1/30/13,0,9,1,LARGE,0.41,2/5/94,18.58,0.042,6.266,58.898,0.105,87.678,1.810507281,-1.211493996,-1.006412876,1.315096291,Far,Far_2012,Above,Below,Old,N,1,4
ID14,ID14_4,M2,9,2012,M,9/15/12,8/9/13,1,3,1,SMALL,0.9,8/25/97,15.06,0.153,14.224,127.325,0.049,140.083,-0.50644291,2.358236154,2.178525894,-0.072319878,Mid,Mid_2012,Below,Above,Old,Y,4,2
ID107,ID107_1,B1,10,2012,M,10/12/12,3/7/14,1,11,1,LARGE,1.4,12/26/88,23.79,0.018,10.507,93.988,0.006,150.400,-0.34728982,-2.035144605,-1.701799692,-1.152545483,Mid,Mid_2012,Below,Below,Old,Y,1,2
ID85,ID85_2,Z,10,2012,M,10/24/12,8/30/16,1,7,1,MEDIUM,3.85,6/7/91,21.38,0.043,9.513,56.184,0.009,11.997,-0.894389661,-1.05801099,-0.981193663,-1.079955977,Mid,Mid_2012,Below,Below,Old,N,1,1
ID59,ID59_1,B1,10,2012,M,10/26/12,12/20/13,1,11,1,LARGE,1.15,9/9/98,14.13,0.086,9.479,96.513,0.005,150.888,-0.370853651,-0.05703975,0.276305163,-1.176109314,Mid,Mid_2012,Below,Above,Middle-aged,Y,3,2
ID43,ID43_2,M1,10,2012,M,10/29/12,10/29/17,0,8,2,LARGE,5,12/15/04,7.87,0.103,14.756,135.184,0.010,145.104,-0.706926151,0.614307995,0.755257219,-1.047414804,Mid,Mid_2012,Below,Above,Young,Y,4,1
ID68,ID68_4,K,11,2012,F,11/10/12,11/10/17,0,3,2,SMALL,5,3/1/01,11.7,0.095,21.959,44.011,0.052,78.245,-0.444506545,0.706738605,0.527028345,-0.010383513,Small,Small_2012,Below,Above,Middle-aged,N,4,2
ID72,ID72_5,M1,12,2012,F,12/3/12,9/17/14,1,8,2,LARGE,1.79,1/1/98,14.92,0.064,16.603,137.085,0.040,147.802,0.051587802,-0.499407674,-0.358458451,-0.288900851,Mid,Mid_2012,Above,Below,Middle-aged,Y,2,3
ID62,ID62_1,L,12,2012,F,12/11/12,1/31/13,0,8,2,LARGE,0.14,5/7/03,9.6,0.074,5.575,32.081,0.103,7.418,1.613480485,-0.233910468,-0.092961244,1.272991832,Far,Far_2012,Above,Below,Middle-aged,N,2,4
ID61,ID61_1,C1,12,2012,F,12/20/12,12/20/12,1,4,4,SMALL,0.001,7/18/02,10.43,0.111,28.439,276.602,0.014,278.005,-1.215467644,1.097965464,0.982387101,-0.936266949,Small,Small_2012,Below,Above,Middle-aged,N,4,1
ID16,ID16_2,C4,1,2013,F,1/10/13,1/10/18,0,4,1,SMALL,5,6/15/05,7.57,0.052,26.112,278.929,0.056,277.754,0.04252372,-0.062921603,-0.178499966,0.321724415,Small,Small_2013,Above,Above,Young,N,3,3
ID105,ID105_1,L,1,2013,M,1/17/13,1/31/13,0,8,2,LARGE,0.04,1/4/96,17.04,0.070,6.129,33.534,0.155,7.658,3.135440969,0.343347629,0.484296852,2.794952317,Far,Far_2013,Above,Above,Old,N,3,4
ID92,ID92_1,C4,1,2013,M,1/28/13,3/27/13,1,4,1,SMALL,0.16,12/1/05,7.16,0.091,21.368,274.132,0.029,252.359,-0.62596864,1.40084264,1.285264277,-0.346767945,Small,Small_2013,Below,Above,Young,N,4,1
ID54,ID54_1,C3,1,2013,M,1/29/13,1/29/18,0,2,2,SMALL,5,9/4/02,10.4,0.072,38.898,256.602,0.130,252.359,1.571388056,0.806156852,0.562314696,2.160433425,Small,Small_2013,Above,Above,Middle-aged,Y,4,4
ID65,ID65_1,C4,2,2013,F,2/8/13,2/8/18,0,4,1,SMALL,5,2/15/03,9.98,0.033,26.046,269.454,0.102,251.314,1.186741728,-0.789341737,-0.9049201,1.465942423,Small,Small_2013,Above,Below,Middle-aged,N,1,4
ID49,ID49_2,T,2,2013,M,2/9/13,1/21/18,1,10,1,LARGE,4.95,5/15/07,5.74,0.018,6.663,85.711,0.005,47.085,-0.297025003,-1.764837665,-1.495624648,-0.94735833,Mid,Mid_2013,Below,Below,Young,N,1,2
ID42,ID42_1,C3,3,2013,M,3/17/13,9/15/13,1,2,2,SMALL,0.5,7/28/06,6.64,0.028,28.555,263.564,0.059,248.885,-0.17812352,-0.845417393,-1.08925955,0.410921849,Small,Small_2013,Below,Below,Young,Y,1,2
ID69,ID69_2,J,3,2013,F,3/28/13,3/28/18,0,2,2,SMALL,5,5/1/01,11.91,0.026,23.957,24.652,0.115,164.226,1.2065116,-0.923734575,-1.167576731,1.795556969,Small,Small_2013,Above,Below,Middle-aged,N,1,4
ID13,ID13_3,D,4,2013,F,4/1/13,4/1/18,0,4,2,SMALL,5,5/25/07,5.85,0.031,11.064,100.464,0.013,93.617,-1.011036925,-0.881392171,-0.996970534,-0.73183623,Small,Small_2013,Below,Below,Young,N,1,1
ID93,ID93_2,T,4,2013,M,4/10/13,4/10/18,0,10,1,LARGE,5,10/1/03,9.52,0.093,10.222,80.859,0.016,44.171,-0.015629363,1.100400582,1.369613598,-0.665962689,Mid,Mid_2013,Above,Above,Middle-aged,N,4,3
ID73,ID73_2,T,4,2013,F,4/11/13,6/12/13,1,10,1,LARGE,0.17,6/16/94,18.82,0.069,9.364,81.717,0.116,44.171,2.473033592,0.17039078,0.439603796,1.822700266,Mid,Mid_2013,Above,Above,Old,N,3,4
ID50,ID50_2,T,4,2013,F,4/27/13,4/27/18,0,10,1,LARGE,5,6/4/02,10.9,0.077,10.002,79.033,0.020,43.404,0.082990199,0.494422295,0.763635312,-0.567343128,Mid,Mid_2013,Above,Above,Middle-aged,N,3,3
ID28,ID28_3,D,5,2013,M,5/28/13,5/28/18,0,4,2,SMALL,5,5/1/97,16.07,0.093,24.454,75.296,0.023,86.696,-0.777920355,1.482480559,1.366902196,-0.49871966,Small,Small_2013,Below,Above,Old,N,4,1
ID44,ID44_1,C1,6,2013,F,6/1/13,8/31/17,1,3,1,SMALL,4.25,9/1/94,18.75,0.118,24.912,243.157,0.009,236.066,-1.286101804,2.467994919,2.288284659,-0.851978772,Small,Small_2013,Below,Above,Old,N,4,1
ID87,ID87_1,G,6,2013,F,6/13/13,6/13/18,0,5,1,MEDIUM,5,10/24/07,5.64,0.032,5.123,40.463,0.014,71.370,-0.854685788,-0.895119373,-0.94656584,-0.73040743,Mid,Mid_2013,Below,Below,Young,N,1,1
ID17,ID17_1,G,6,2013,M,6/18/13,6/18/18,0,5,1,MEDIUM,5,7/23/02,10.9,0.077,10.128,35.457,0.012,71.370,-0.891390346,0.812370016,0.760923549,-0.767111988,Mid,Mid_2013,Below,Above,Middle-aged,N,4,1
ID24,ID24_1,D,6,2013,F,6/24/13,6/24/18,0,4,2,SMALL,5,1/27/03,10.41,0.076,22.724,79.888,0.107,100.699,1.320981614,0.818272126,0.702693763,1.600182309,Small,Small_2013,Above,Above,Middle-aged,N,4,4
ID12,ID12_1,N,6,2013,M,6/27/13,8/24/13,1,4,2,SMALL,0.16,12/18/06,6.52,0.040,7.839,36.661,0.053,71.348,-0.036994034,-0.537496887,-0.653075251,0.242206661,Mid,Mid_2013,Above,Below,Young,N,2,3
ID71,ID71_2,K,6,2013,M,6/30/13,4/3/14,1,2,2,SMALL,0.76,3/11/07,6.31,0.057,5.687,46.806,0.013,78.090,-1.345086233,0.252200357,0.008358201,-0.756040864,Small,Small_2013,Below,Above,Young,Y,3,1
ID70,ID70_3,G,7,2013,M,7/14/13,7/14/18,0,5,1,MEDIUM,5,7/18/01,11.99,0.046,9.794,37.056,0.017,85.195,-0.76331814,-0.388101713,-0.439548179,-0.639039782,Mid,Mid_2013,Below,Below,Middle-aged,N,2,1
ID35,ID35_1,V,7,2013,M,7/15/13,7/15/18,0,7,1,MEDIUM,5,3/11/07,6.35,0.052,13.969,117.519,0.017,113.096,-0.446980402,-0.273872342,-0.197055015,-0.632546718,Small,Small_2013,Below,Below,Young,N,2,2
ID22,ID22_3,T,7,2013,F,7/16/13,7/16/13,1,9,1,LARGE,0.001,6/18/07,6.08,0.029,7.324,81.940,0.016,43.110,-0.171211886,-1.263343183,-1.058262063,-0.666622876,Mid,Mid_2013,Below,Below,Young,N,1,2
ID77,ID77_1,T,8,2013,M,8/13/13,8/13/18,0,9,1,LARGE,5,8/17/05,7.99,0.057,9.838,84.519,0.006,55.677,-0.414974299,-0.211134959,-0.006053839,-0.910385289,Mid,Mid_2013,Below,Below,Young,N,2,2
ID112,ID112_2,T,8,2013,F,8/18/13,6/20/17,1,9,1,LARGE,3.84,6/7/90,23.2,0.015,9.643,84.714,0.022,55.677,-0.015666376,-1.789086163,-1.584005043,-0.511077366,Mid,Mid_2013,Above,Below,Old,N,1,3
ID81,ID81_2,G,8,2013,M,8/30/13,8/30/18,0,5,1,MEDIUM,5,6/1/96,17.25,0.051,11.024,38.635,0.031,86.724,-0.412889527,-0.179635188,-0.231081655,-0.288611169,Mid,Mid_2013,Below,Below,Old,N,2,2
ID1,ID1_1,T,9,2013,M,9/19/13,2/1/16,1,9,1,LARGE,2.37,11/16/07,5.84,0.033,4.567,94.641,0.000,56.983,-0.571818545,-1.119541289,-0.914460169,-1.067229535,Mid,Mid_2013,Below,Below,Young,N,1,2
